row,rid,lang,theme,month,ang,iro,hop,rsg,ent,anx,cnt,frm,hum,prf,evid,aff,dis,exh,rsl,care,fair,loya,auth,libe,trad,sexp,indv,scfr,cnsp,dogm,itru,wtru,hawk,ogh,lgbt,gtrd,sxm
104,r_ddd493668fc9,uk,society-culture,2023-12,0,0,0,0.0,2.0,0,0.0,1,1,0.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
105,r_7a07ca817df0,uk,ai-tech,2025-03,1,3,0,0.0,0.0,0,2.0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
106,r_b61110327473,ru,ai-tech,2025-03,0,0,0,0.0,0.0,2,0.0,2,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,1,0,0,0,0,0,0,0
107,r_ca112f63a7ca,uk,war-strategy,2024-11,2,0,2,0.0,0.0,1,3.0,1,0,0.0,1,0,0,0,2,1,0,1,0,1,0,0,1,1,2,2,0,1,2,1,0,0,0
108,r_06bd710f14d2,uk,war-strategy,2024-11,2,0,0,0.0,0.0,0,3.0,1,0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0
109,r_06bd710f14d2,uk,war-strategy,2024-11,0,0,0,0.0,0.0,1,1.0,2,1,0.0,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
110,r_06bd710f14d2,uk,war-strategy,2024-11,1,0,0,2.0,0.0,2,0.0,2,0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
111,r_06bd710f14d2,uk,war-strategy,2024-11,1,0,0,2.0,0.0,3,1.0,2,0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
112,r_b61110327473,ru,war-strategy,2024-11,0,1,0,2.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,r_b61110327473,uk,war-strategy,2024-11,3,0,0,2.0,0.0,3,2.0,3,0,0.0,1,0,0,0,0,2,0,0,0,2,0,-1,1,-2,2,2,0,0,2,0,0,0,0
114,r_b61110327473,uk,war-strategy,2024-11,1,0,0,0.0,0.0,1,1.0,2,0,0.0,0,0,0,0,0,1,0,1,0,1,0,-1,0,-2,2,2,0,-1,1,1,0,0,0
115,r_4ac5f87d743f,ru,war-strategy,2024-11,0,2,0,0.0,0.0,0,2.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
116,r_242875ef1f79,uk,war-strategy,2024-11,0,1,0,0.0,0.0,1,0.0,2,0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
117,r_242875ef1f79,bg,war-strategy,2024-11,0,1,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
118,r_06bd710f14d2,uk,war-strategy,2024-11,0,0,0,0.0,0.0,0,0.0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0
119,r_b7665716e39a,uk,war-strategy,2024-11,1,0,1,0.0,1.0,0,2.0,2,0,0.0,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
120,r_4e511f313ea8,uk,war-strategy,2024-11,0,0,0,0.0,0.0,2,0.0,2,0,0.0,0,0,0,0,0,0,0,0,0,2,0,-1,1,1,0,1,-1,0,1,0,0,0,0
121,r_b7665716e39a,uk,war-strategy,2024-11,0,0,0,0.0,0.0,0,1.0,3,0,0.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122,r_9170751e3c54,uk,war-strategy,2024-11,0,1,0,0.0,0.0,0,2.0,2,1,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
123,r_ca112f63a7ca,uk,war-strategy,2024-11,1,0,2,0.0,1.0,1,2.0,2,0,0.0,1,0,0,0,1,2,0,1,0,1,0,0,0,2,0,2,0,1,2,0,0,0,0
124,r_06bd710f14d2,uk,war-strategy,2024-11,2,0,0,2.0,0.0,1,3.0,1,0,0.0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,3,0,0,2,2,0,0,0
125,r_242875ef1f79,uk,war-strategy,2024-11,0,1,0,1.0,0.0,0,0.0,2,1,0.0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,0
126,r_4e511f313ea8,uk,war-strategy,2024-11,0,0,0,0.0,0.0,2,0.0,2,0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0
127,r_b7665716e39a,uk,war-strategy,2024-11,0,0,0,0.0,0.0,0,1.0,3,0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
128,r_9170751e3c54,uk,war-strategy,2024-11,1,1,0,0.0,0.0,0,2.0,3,1,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
129,r_4ac5f87d743f,ru,society-culture,2024-02,0,0,0,0.0,0.0,0,0.0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,r_7d269adec307,uk,society-culture,2024-02,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,r_6b97c50618b2,uk,society-culture,2024-02,0,0,0,0.0,1.0,0,0.0,2,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,r_b2b3caa52355,uk,society-culture,2024-02,0,1,0,1.0,0.0,1,1.0,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
133,r_b2b3caa52355,uk,society-culture,2024-02,2,1,0,0.0,0.0,2,1.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,2,-2,-1,-1,0,0,0,0
134,r_e41d41cbf0d1,uk,society-culture,2024-02,2,0,0,0.0,0.0,0,2.0,2,0,0.0,1,0,0,0,0,2,2,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
135,r_4ac5f87d743f,ru,society-culture,2024-02,3,2,0,1.0,0.0,2,3.0,1,1,0.0,0,0,0,0,0,2,0,0,0,3,0,1,1,2,2,2,-2,0,0,1,0,0,0
